,id,name,year,rating,genre,director,actor,other actor,area
15368,26855695,侍女,2016,4.7,惊悚/恐怖/,Derek Nguyen,Derek Nguyen,凯特·绒/吉恩·米歇尔·里肖德/罗茜·费尔纳/金春,越南
15369,27062900,蛰伏,2017,4.7,恐怖/,Jonathan Hopkins,Richard Hobley/Jonathan Hopkins,李美琪/西尔维斯特·迈可伊/威尔·坎普/威廉·霍普/山姆·特劳顿,英国/美国
15370,2302930,修女,2005,4.7,惊悚/恐怖/,Luis de la Madrid,Jim Arnold/安妮塔柏寧/Oriana Bonet,JimArnold/安妮塔柏寧/OrianaBonet,西班牙/英国
15371,2339415,猛鬼咒,1988,4.7,剧情/恐怖/,杜鲁波,朱宝意/孙兴/谷峰,朱宝意/孙兴/谷峰,香港
15372,1441293,吸血莱恩,2005,4.6,动作/恐怖/奇幻/冒险/,乌维·鲍尔,吉娜薇·特纳,克里斯塔娜·洛肯/迈克尔·马德森/马修·戴维斯/威尔·桑德森/杰拉丁·卓别林,美国/德国
15373,26828241,童使,2017,4.6,恐怖/,清水崇,Brazily Anne Yamada/清水崇,泷泽秀明/有冈大贵/门胁麦,日本
15374,2335252,欲女反乱军,2007,4.6,动作/恐怖/,川野浩司,大和田悟史,范田纱纱/时任步/时任步/吉泽季代,日本
15375,2030560,森冤,2007,4.5,惊悚/恐怖/犯罪/,彭发,彭发/钱江汉,舒淇/郑伊健/李彩桦/阮民安/周俊伟,香港/中国
15376,24709327,提线木偶,2013,4.5,惊悚/恐怖/,权英乐,李忠秀/具智成/韩素英,李忠秀/具智成/韩素英,韩国
15377,26362770,道士出山,2015,4.5,剧情/恐怖/,张涛,张涛,彭禺厶/金梓壑,中国大陆
15378,27591695,午夜人魔,2016,4.5,恐怖/,Travis Zariwny,Travis Zariwny/Robert Kennedy,洛根·克里伦/罗伯特·英格兰德/GraysonGabriel/艾米丽·海内/GabrielleHaugh,美国/加拿大Canada
15379,4781085,猛鬼山坟II,1989,4.5,恐怖/,沈威,吕良伟/李国麟,吕良伟/李国麟,香港
15380,3011296,它是活尸,2008,4.4,恐怖/,约瑟夫·鲁斯纳克,拉里·柯恩/Paul Sopocy/James Portolese,碧悠·菲利浦斯/詹姆斯·莫瑞/拉斐尔·科尔曼/欧文·蒂尔/泰·格拉泽,美国
15381,26735676,屠杀公园,2016,4.4,动作/惊悚/恐怖/犯罪/,米基·基廷,米基·基廷,阿什丽·贝尔/帕特·希利/詹姆斯·兰德里·赫伯特/迈克尔·维拉尔/拉瑞·凡斯登,美国
15382,25848174,狼警,2014,4.4,喜剧/恐怖/,Lowell Dean,Lowell Dean,LeoFafard/AmyMatysio/莎拉·林德/CorinneConley/杰西·莫斯,加拿大
15383,24527590,水底惊魂,2013,4.3,惊悚/恐怖/,拉里·法森顿,Tony Daniel/Brian D. Smith,DanielZovatto/邦妮·丹尼森/ChrisConroy/JohnnyOrsini/葛瑞芬·纽曼,美国
15384,2269983,史前巨鳄2,2007,4.3,剧情/惊悚/恐怖/,David Flores,Robert Blush/Chad Collins/Andrea Enright,RobertBlush/ChadCollins/AndreaEnright,美国
15385,4828325,哥特洛丽塔处刑人,2010,4.3,恐怖/,小原剛,黒木久勝,秋山莉奈/桃瀬美咲/佃井皆美/中島史恵/亜紗美,日本
15386,26846564,孕中惊魂,2016,4.3,惊悚/恐怖/,米古尔·安格尔·维瓦斯,豪梅·巴拉格罗/亚历山大·布斯蒂罗/Manu Díez/朱利安·莫利,瑞秋·尼科尔斯/劳拉·哈灵/安德里亚·提瓦塔/斯塔尼·科佩/克雷格·史蒂文森,西班牙/英国/美国/法国
15387,1479896,阴阳路14：双鬼拍门,2002,4.3,剧情/恐怖/,叶伟英,林华勋,罗兰/施明/唐家辉/张豪龙/关宝慧,香港
15388,4732448,阴阳路19：我对眼见到嘢,2003,4.3,喜剧/恐怖/,叶伟英,林华勋,罗兰/雷宇扬/陈颖妍/张豪龙/王合喜,香港
15389,26970803,尸奶俱乐部,2016,4.3,恐怖/,Sevé Schelenz,Sevé Schelenz/Lisa DeVita,WrenWalker/CazOdinDarko/MadisonJ.Loos/CameronDent/AlDales,美国
15390,27069639,异教徒,2017,4.3,恐怖/,Chad Archibald,Jayme Laforest,NinaKiri/JorjaCadence/RyBarrett/NinaRichmond/WillKing,加拿大
15391,27115524,打车惊魂,2017,4.2,恐怖/,Brian Frank Visciglia,Kat Silvia/Brian Frank Visciglia/Dustin Frost,DavidWachs/JessicaSerfaty/RonnieAlvarez,美国
15392,1419956,类人体,2005,4.2,动作/科幻/恐怖/,Brett Leonard,Hans Rodionoff/史蒂夫·格伯,马修·勒·内维兹/瑞切尔·泰勒/杰克·汤普森,美国/澳大利亚
15393,2058755,援助交际扑灭运动：地狱变,2004,4.2,动作/恐怖/,鈴木浩介,苍井空/远藤宪一/绯田康人,苍井空/远藤宪一/绯田康人,日本
15394,22993110,色欲之死3,2013,4.2,恐怖/,友松直之,小泽爱丽丝/亚纱美/相川优衣/小林沙耶,小泽爱丽丝/亚纱美/相川优衣/小林沙耶,日本
15395,30170848,家庭血液,2018,4.2,恐怖/,桑尼·墨海,桑尼·墨海/Nick Savvides,凡妮莎·肖/詹姆斯·兰索恩/科林·福特/阿琼娜·亚历克苏丝/EloiseLushina,美国
15396,26821359,贱神三少爷,2016,4.2,喜剧/爱情/恐怖/,爱迪生,爱迪生,杨博/张美娥/周鑫洋/侯雨桐/宋佳霓,中国大陆
15397,5150673,黑鼠,2010,4.3,恐怖/,深作健太,藤田大,米村美咲/松本宽也/坂本真,日本
15398,25955379,剧场灵,2015,4.1,恐怖/,中田秀夫,加藤淳也/三宅隆太,岛崎遥香/足立梨花/高田里穗/町田启太/中村育二,日本
15399,30128228,玉米地的小孩：大逃亡,2018,4.2,恐怖/,约翰·古拉格,乔尔·苏瓦松,玛茜·米勒/MollyNikkiAnderson/BlaineMaye/LynnAndrewsIII/JRHatchett,美国
15400,26705726,深夜书店2,2016,4.1,惊悚/恐怖/奇幻/,杜景峰,杜景峰,彭禺厶/游乐儿/曲昱瞳,中国大陆
15401,24532266,尸蛊艳谭,1993,4.1,剧情/恐怖/,罗棋,罗棋,曹查理/谷峰/徐曼华/黎燕珊/原森,香港
15402,26438121,附身实验,2016,4.0,惊悚/恐怖/,Scott B. Hansen,Mary J. Dixon/Scott B. Hansen,ChrisMinor/NickyJasper/BillMoseley/JakeBrinn,美国
15403,26857741,恶灵弑室,2017,4.0,恐怖/,Peter Dukes,Peter Dukes,斯基特·乌尔里奇/肖恩·杨/克里斯汀·多伦/兰迪·韦恩/MattMcVay,美国
15404,2305516,少林僵尸天极,2006,4.0,动作/恐怖/,孔祥德/叶永健,何耀宏,樊少皇/原子德/释小虎,香港
15405,4582981,后备箱,2009,4.0,惊悚/恐怖/,Straw Weisman,Straw Weisman,DavidBlanchard/JenniferDay,美国
15406,5159498,罗格河,2012,3.9,惊悚/恐怖/,Jourdan McClure,Ryan Finnerty/Kevin Haskin,米歇尔·佩吉/ArtAlexakis/克里斯·科伊/迈克尔·库立兹/卢辛达·珍妮,美国
15407,10580355,晚安巷鬼影,2013,3.8,恐怖/奇幻/,Alin Bijan,Alin Bijan/Amy Acosta,比利·赞恩/莱西·沙伯特/丹妮尔·哈丽丝,美国
15408,11502902,昏神,2018,3.9,惊悚/恐怖/,约翰尼·马丁,Francisco Castro/郑继宗/Lisa Clemens/约翰尼·马丁,迈克·C·曼宁/格里芬·弗里曼/瑞恩·平克斯顿/奥格斯·罗德/特里萨·纳瓦罗,美国
15409,25742254,少女灵异日记,2013,3.8,惊悚/恐怖/,许斌,吴楠/许斌/王佩晨,路晨/冯波/周野芒/伍麟凯/韩一菲,中国大陆
